string,int,int
name,year,partition
NL_E_Balance,2050,1
BE_E_Balance,2050,1
DE_E_Balance,2050,1
FR_E_Balance,2050,1
DK_E_Balance,2050,1
UK_E_Balance,2050,1
IE_E_Balance,2050,1
CH_E_Balance,2050,1
AT_E_Balance,2050,1
LU_E_Balance,2050,1
CZ_E_Balance,2050,1
PL_E_Balance,2050,1
SE_E_Balance,2050,1
NO_E_Balance,2050,1
ES_E_Balance,2050,1
PT_E_Balance,2050,1
IT_E_Balance,2050,1
MT_E_Balance,2050,1
SI_E_Balance,2050,1
HU_E_Balance,2050,1
SK_E_Balance,2050,1
LT_E_Balance,2050,1
LV_E_Balance,2050,1
EE_E_Balance,2050,1
FI_E_Balance,2050,1
HR_E_Balance,2050,1
GR_E_Balance,2050,1
BG_E_Balance,2050,1
RO_E_Balance,2050,1
CY_E_Balance,2050,1
OBZLL_E_Balance,2050,1
