string,int,int
name,year,partition
NL_E_Balance,2030,1
BE_E_Balance,2030,2
DE_E_Balance,2030,2
FR_E_Balance,2030,2
DK_E_Balance,2030,2
UK_E_Balance,2030,2
IE_E_Balance,2030,4
CH_E_Balance,2030,4
AT_E_Balance,2030,4
LU_E_Balance,2030,4
CZ_E_Balance,2030,4
PL_E_Balance,2030,4
SE_E_Balance,2030,4
NO_E_Balance,2030,2
ES_E_Balance,2030,4
PT_E_Balance,2030,4
IT_E_Balance,2030,4
MT_E_Balance,2030,4
SI_E_Balance,2030,4
HU_E_Balance,2030,4
SK_E_Balance,2030,4
LT_E_Balance,2030,4
LV_E_Balance,2030,4
EE_E_Balance,2030,4
FI_E_Balance,2030,4
HR_E_Balance,2030,4
GR_E_Balance,2030,4
BG_E_Balance,2030,4
RO_E_Balance,2030,4
CY_E_Balance,2030,4
OBZLL_E_Balance,2030,1
